"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"53912","AT 2020cdi","11:38:39.362","+67:35:22.76","","","","","ZTF","ZTF","","ZTF","ZTF20aamgdkb","P48 - ZTF-Cam","","1","1","","19.66","g-ZTF","2020-02-07 11:09:42","ZTF_AMPEL_NEW","","TESS-active sector/s (20,21);TESS-Sector20;TESS-Sector21"
"53911","AT 2020cdh","13:56:37.455","+13:09:46.77","","","","","SGLF","ZTF","","ZTF","ZTF20aahgzdq","P48 - ZTF-Cam","","1","1","","20.054","g-ZTF","2020-01-24 10:35:19","Perez-Fournon","",""
"53910","AT 2020cdg","14:13:00.158","+36:11:34.28","","","","","SGLF","ZTF","","ZTF","ZTF20aagxjwh","P48 - ZTF-Cam","","1","1","","19.562","g-ZTF","2020-01-24 10:43:08","Perez-Fournon","",""
"53909","AT 2020cdf","14:26:26.427","+10:10:02.01","","","","","SGLF","ZTF","","ZTF","ZTF20aahsjim","P48 - ZTF-Cam","","1","1","","19.854","g-ZTF","2020-01-24 10:36:36","Perez-Fournon","",""
"53908","AT 2020cde","10:17:47.110","+42:35:31.09","","","","","SGLF","ZTF","","ZTF","ZTF20aaiceeg","P48 - ZTF-Cam","","1","1","","21.084","g-ZTF","2020-01-23 09:55:04","Perez-Fournon","","TESS-active sector/s (20,21);TESS-Sector20;TESS-Sector21"
"53907","AT 2020cdd","18:09:49.346","+65:51:39.66","","","","","SGLF","ZTF","","ZTF","ZTF20aagnbdf","P48 - ZTF-Cam","","1","1","","19.882","r-ZTF","2020-01-18 12:50:56","Perez-Fournon","","TESS-active sector/s (20,21);TESS-Sector20;TESS-Sector21"
"53906","AT 2020cdc","17:05:45.023","+56:00:20.58","","","","","SGLF","ZTF","","ZTF","ZTF20aajcunh","P48 - ZTF-Cam","","1","1","","20.443","r-ZTF","2020-01-25 12:45:13","Perez-Fournon","",""
"53905","AT 2020cdb","16:22:39.057","+65:20:51.35","","","","","SGLF","ZTF","","ZTF","ZTF20aaifxeo","P48 - ZTF-Cam","","1","1","","20.56","r-ZTF","2020-01-25 12:43:16","Perez-Fournon","","TESS-active sector/s (20,21);TESS-Sector20;TESS-Sector21"
"53904","AT 2020cda","14:31:00.867","+42:57:25.99","","","","","SGLF","ZTF","","ZTF","ZTF20aajcgym","P48 - ZTF-Cam","","1","1","","20.462","g-ZTF","2020-01-27 11:53:28","Perez-Fournon","",""
"53903","AT 2020ccz","06:27:21.001","+23:31:48.50","","","","","SGLF","ZTF","","ZTF","ZTF20aajhopq","P48 - ZTF-Cam","","1","1","","20.112","g-ZTF","2020-01-29 05:30:05","Perez-Fournon","",""
"53902","AT 2020ccy","14:12:05.785","+55:10:26.05","","","","","SGLF","ZTF","","ZTF","ZTF20aakockt","P48 - ZTF-Cam","","1","1","","20.352","g-ZTF","2020-01-30 12:44:45","Perez-Fournon","",""
"53901","AT 2020ccx","17:21:47.639","+53:13:38.19","","","","","SGLF","ZTF","","ZTF","ZTF20aalrpzx","P48 - ZTF-Cam","","1","1","","20.577","g-ZTF","2020-02-01 11:40:05","Perez-Fournon","",""
"53900","AT 2020ccw","14:26:59.656","+05:43:26.34","","","","","SGLF","ZTF","","ZTF","ZTF20aalrkqv","P48 - ZTF-Cam","","1","1","","20.579","g-ZTF","2020-01-27 12:00:01","Perez-Fournon","",""
"53899","AT 2020ccv","11:14:47.361","+22:39:04.14","","","","","SGLF","ZTF","","ZTF","ZTF20aakqvww","P48 - ZTF-Cam","","1","1","","20.73","r-ZTF","2020-01-26 07:34:38","Perez-Fournon","",""
"53898","AT 2020ccu","15:26:26.162","+33:32:11.93","","","","","SGLF","ZTF","","ZTF","ZTF20aakodmm","P48 - ZTF-Cam","","1","1","","20.285","g-ZTF","2020-01-27 11:37:11","Perez-Fournon","",""
"53897","AT 2020cct","10:09:59.782","+18:11:14.78","","","","","SGLF","ZTF","","ZTF","ZTF20aalguso","P48 - ZTF-Cam","","1","1","","20.594","g-ZTF","2020-01-30 09:07:17","Perez-Fournon","",""
"53896","AT 2020ccs","03:27:12.210","-11:22:15.29","","","","","SGLF","ZTF","","ZTF","ZTF20aaivudi","P48 - ZTF-Cam","","1","1","","20.867","r-ZTF","2020-01-24 03:26:38","Perez-Fournon","",""
"53895","AT 2020ccr","09:14:40.294","+04:57:35.00","","","","","SGLF","ZTF","","ZTF","ZTF20aakmkhy","P48 - ZTF-Cam","","1","1","","20.625","r-ZTF","2020-01-27 06:03:58","Perez-Fournon","",""
"53894","AT 2020ccq","11:31:45.663","+25:20:25.36","","","","","SGLF","ZTF","","ZTF","ZTF20aaidabf","P48 - ZTF-Cam","","1","1","","20.843","g-ZTF","2020-01-23 10:28:14","Perez-Fournon","",""
"53893","AT 2020ccp","14:07:53.904","+47:52:29.71","","","","","SGLF","ZTF","","ZTF","ZTF20aafuaej","P48 - ZTF-Cam","","1","1","","20.295","g-ZTF","2020-01-24 10:44:25","Perez-Fournon","",""
