"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"27170","SN 2018cow","16:16:00.22","+22:16:04.83","SN Ic-BL","","","","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS18qqn","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","14.739","orange-ATLAS","2018-06-16 10:35:02","ATLAS_Bot1",""
"27171","SN 2018cox","16:34:42.21","-02:11:20.87","SN I","0.093","","","ATLAS","","ATLAS","ATLAS18qsb","ATLAS1 - ACAM1","LT - SPRAT","1","1","","18.967","orange-ATLAS","2018-06-15 11:12:28","ATLAS_Bot1",""
"27172","AT 2018coy","20:20:28.88","-33:23:37.00","","","","","ATLAS","","ATLAS","ATLAS18qss","ATLAS1 - ACAM1","","1","1","","18.832","orange-ATLAS","2018-06-14 12:31:40","ATLAS_Bot1",""
"27173","AT 2018coz","20:22:32.60","-18:11:38.36","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abf","PS1 - GPC1","","1","1","","21.27","w-PS1","2018-06-13 12:47:31","PS1_Bot1",""
"27174","AT 2018cpa","20:47:46.03","-16:30:50.66","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abh","PS1 - GPC1","","1","1","","20.49","w-PS1","2018-06-13 12:53:16","PS1_Bot1",""
"27175","AT 2018cpb","20:50:57.44","-16:16:10.71","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abi","PS1 - GPC1","","1","1","","20.41","w-PS1","2018-06-13 12:53:16","PS1_Bot1",""
"27176","AT 2018cpc","17:01:05.37","+37:26:02.44","","","","","Pan-STARRS1, ATLAS","","ATLAS; Pan-STARRS1","PS18abb","PS1 - GPC1, ATLAS1 - ACAM1","","1","1","","20.16","w-PS1","2018-06-13 10:58:04","PS1_Bot1",""
"27177","AT 2018cpd","17:19:52.95","+40:15:56.91","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abc","PS1 - GPC1","","1","1","","21.39","w-PS1","2018-06-13 11:02:24","PS1_Bot1",""
"27178","AT 2018cpe","17:32:08.21","+43:58:14.72","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abd","PS1 - GPC1","","1","1","","20.89","w-PS1","2018-06-13 11:08:09","PS1_Bot1",""
"27179","AT 2018cpf","19:14:20.67","-24:41:11.68","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abe","PS1 - GPC1","","1","1","","19.75","w-PS1","2018-06-12 11:35:31","PS1_Bot1",""
"27180","AT 2018cpg","20:55:11.12","-19:55:52.30","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abj","PS1 - GPC1","","1","1","","20.74","w-PS1","2018-06-13 12:56:09","PS1_Bot1",""
"27181","AT 2018cph","20:55:51.46","-17:53:30.08","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abk","PS1 - GPC1","","1","1","","20.02","w-PS1","2018-06-13 12:54:43","PS1_Bot1",""
"27182","AT 2018cpi","15:21:16.95","-04:41:00.63","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aai","PS1 - GPC1","","1","1","","21.32","w-PS1","2018-06-04 08:05:16","PS1_Bot1",""
"27183","AT 2018cpj","13:39:15.33","+03:39:03.99","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aah","PS1 - GPC1","","1","1","","20.84","w-PS1","2018-06-02 06:47:31","PS1_Bot1",""
"27184","AT 2018cpk","15:48:22.76","-07:17:39.02","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aam","PS1 - GPC1","","1","1","","20.89","w-PS1","2018-06-10 09:11:31","PS1_Bot1",""
"27185","AT 2018cpl","15:09:16.43","+36:24:56.03","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aal","PS1 - GPC1","","1","1","","20.89","w-PS1","2018-06-10 06:25:55","PS1_Bot1",""
"27186","AT 2018cpm","16:05:09.23","-06:02:15.93","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aao","PS1 - GPC1","","1","1","","21.37","w-PS1","2018-06-10 10:16:19","PS1_Bot1",""
"27187","AT 2018cpn","16:02:08.18","+43:46:10.54","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aan","PS1 - GPC1","","1","1","","21.14","w-PS1","2018-06-10 06:31:40","PS1_Bot1",""
"27188","AT 2018cpo","10:15:21.17","+65:59:09.73","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aaq","PS1 - GPC1","","1","1","","19.44","w-PS1","2018-06-12 07:27:50","PS1_Bot1",""
"27189","AT 2018cpp","16:54:19.24","-03:21:07.40","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aap","PS1 - GPC1","","1","1","","20.62","w-PS1","2018-06-10 10:09:07","PS1_Bot1",""
"27190","AT 2018cpq","15:12:20.30","+09:04:56.64","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aas","PS1 - GPC1","","1","1","","20.36","w-PS1","2018-06-13 09:51:50","PS1_Bot1",""
"27191","AT 2018cpr","15:07:55.01","+14:59:34.68","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aar","PS1 - GPC1","","1","1","","21.3","w-PS1","2018-06-13 09:46:04","PS1_Bot1",""
"27192","AT 2018cps","15:26:06.72","+13:03:02.18","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aat","PS1 - GPC1","","1","1","","20.55","w-PS1","2018-06-13 09:48:57","PS1_Bot1",""
"27193","AT 2018cpt","15:50:44.63","+15:50:36.86","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aaw","PS1 - GPC1","","1","1","","21.14","w-PS1","2018-06-13 09:59:02","PS1_Bot1",""
"27194","AT 2018cpu","16:17:29.69","+06:39:03.66","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aay","PS1 - GPC1","","1","1","","20.46","w-PS1","2018-06-13 08:36:57","PS1_Bot1",""
"27195","AT 2018cpv","16:01:54.91","+05:09:12.04","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aax","PS1 - GPC1","","1","1","","20.5","w-PS1","2018-06-13 08:32:38","PS1_Bot1",""
"27196","AT 2018cpw","16:56:33.49","+34:47:15.40","","","","","Pan-STARRS1","","Pan-STARRS1","PS18aba","PS1 - GPC1","","1","1","","20.86","w-PS1","2018-06-13 10:58:04","PS1_Bot1",""
"27197","AT 2018cpx","16:37:12.11","+04:34:13.90","","","","","Pan-STARRS1, ATLAS","","ATLAS; Pan-STARRS1","PS18aaz","PS1 - GPC1, ATLAS1 - ACAM1","","1","1","","20","w-PS1","2018-06-13 08:41:16","PS1_Bot1",""
"27198","AT 2018cpy","21:00:44.35","-19:17:19.08","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abm","PS1 - GPC1","","1","1","","19.13","w-PS1","2018-06-13 12:56:09","PS1_Bot1",""
"27199","AT 2018cpz","22:44:25.54","-25:00:20.11","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abn","PS1 - GPC1","","1","1","","20.75","w-PS1","2018-06-11 13:36:28","PS1_Bot1",""
"27200","AT 2018cqa","14:47:45.78","+32:45:06.80","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bnv","Gaia - Gaia-photometric","","1","1","","17.98","G-Gaia","2018-06-16 10:42:14","Gaia_Bot1",""
"27201","AT 2018cqb","02:33:07.35","-10:40:19.81","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bnw","Gaia - Gaia-photometric","","1","1","","18.89","G-Gaia","2018-06-16 02:58:33","Gaia_Bot1",""
"27202","AT 2018cqc","02:19:15.93","+24:26:47.98","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bnx","Gaia - Gaia-photometric","","1","1","","18.72","G-Gaia","2018-06-16 00:34:33","Gaia_Bot1",""
"27203","AT 2018cqd","12:05:41.01","-79:25:25.25","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bny","Gaia - Gaia-photometric","","1","1","","17.59","G-Gaia","2018-06-16 08:48:28","Gaia_Bot1",""
"27204","AT 2018cqe","13:37:30.16","-66:55:22.91","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bnz","Gaia - Gaia-photometric","","1","1","","18.85","G-Gaia","2018-06-15 22:49:26","Gaia_Bot1",""
"27205","AT 2018cqf","13:54:32.01","-54:12:28.80","","","","","GaiaAlerts","","GaiaAlerts","Gaia18boa","Gaia - Gaia-photometric","","1","1","","18.64","G-Gaia","2018-06-16 11:02:24","Gaia_Bot1",""
"27206","AT 2018cqg","03:21:13.77","-57:13:31.26","","","","","GaiaAlerts","","GaiaAlerts","Gaia18boc","Gaia - Gaia-photometric","","1","1","","17.39","G-Gaia","2018-06-16 15:50:24","Gaia_Bot1",""
"27207","AT 2018cqh","02:33:46.93","-01:01:28.38","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bod","Gaia - Gaia-photometric","","1","1","","17.44","G-Gaia","2018-06-16 13:01:55","Gaia_Bot1",""
"27208","SN 2018cqi","13:57:40.90","+17:30:28.66","SN IIP","0.02218","IC 0964","0.022115","ASAS-SN, ATLAS, ZTF","ZTF","ASAS-SN; ATLAS; ZTF","ASASSN-18mz","ASASSN-3 - Paczynski, ATLAS1 - ACAM1, P48 - ZTF-Cam","Lick 3m - KAST","1","1","","17.6","g-Sloan","2018-06-17 02:09:36","Stanek",""
"27209","AT 2018cqj","09:40:21.46","-06:59:19.76","","","","","ATLAS","","ATLAS","ATLAS18qtd","ATLAS1 - ACAM1","","1","1","","18.144","orange-ATLAS","2018-06-13 06:25:55","ATLAS_Bot1",""
"27210","AT 2018cqk","21:39:10.68","-21:40:19.45","","","","","ATLAS","","ATLAS","ATLAS18qte","ATLAS1 - ACAM1","","1","1","","19.214","cyan-ATLAS","2018-06-12 13:19:12","ATLAS_Bot1",""
"27211","AT 2018cql","10:27:37.87","-03:13:46.89","","","","","ATLAS","","ATLAS","ATLAS18qth","ATLAS1 - ACAM1","","1","1","","18.933","cyan-ATLAS","2018-06-17 06:34:33","ATLAS_Bot1",""
"27212","AT 2018cqm","09:29:11.42","-01:24:31.04","","","","","ATLAS","","ATLAS","ATLAS18qtk","ATLAS1 - ACAM1","","1","1","","18.187","cyan-ATLAS","2018-06-17 06:21:36","ATLAS_Bot1",""
"27213","AT 2018cqn","10:17:47.52","+00:29:37.43","","","","","ATLAS","","ATLAS","ATLAS18qtm","ATLAS1 - ACAM1","","1","1","","19.239","cyan-ATLAS","2018-06-17 06:30:14","ATLAS_Bot1",""
"27214","AT 2018cqo","14:52:38.21","-14:30:01.42","","","","","ATLAS","","ATLAS","ATLAS18qtz","ATLAS1 - ACAM1","","1","1","","17.602","cyan-ATLAS","2018-06-17 10:00:28","ATLAS_Bot1",""
"27215","SN 2018cqp","15:22:50.34","+08:04:49.12","SN II","0.03236","","","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS18qug","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","18.854","cyan-ATLAS","2018-06-17 10:22:04","ATLAS_Bot1",""
"27216","AT 2018cqq","13:57:00.37","+01:51:18.19","","","","","ATLAS","","ATLAS","ATLAS18qut","ATLAS1 - ACAM1","","1","1","","18.896","cyan-ATLAS","2018-06-17 09:02:52","ATLAS_Bot1",""
"27217","AT 2018cqr","13:55:40.62","-64:04:40.30","","","","","GaiaAlerts","","GaiaAlerts","Gaia18boe","Gaia - Gaia-photometric","","1","1","","20.01","G-Gaia","2018-06-15 03:05:45","Gaia_Bot1",""
"27218","AT 2018cqs","12:52:57.87","-10:49:06.16","","","","","ATLAS","","ATLAS","ATLAS18qve","ATLAS1 - ACAM1","","1","1","","18.866","cyan-ATLAS","2018-06-17 08:25:26","ATLAS_Bot1",""
"27219","AT 2018cqt","14:42:05.05","-14:21:29.59","","","","","ATLAS","","ATLAS","ATLAS18qvz","ATLAS1 - ACAM1","","1","1","","18.181","cyan-ATLAS","2018-06-17 09:59:02","ATLAS_Bot1",""
"27220","AT 2018cqu","22:47:11.08","-17:54:00.77","","","","","ATLAS","","ATLAS","ATLAS18qwa","ATLAS1 - ACAM1","","1","1","","19.135","cyan-ATLAS","2018-06-16 13:47:59","ATLAS_Bot1",""
"27221","AT 2018cqv","23:18:28.71","-25:59:25.38","","","","","ATLAS","","ATLAS","ATLAS18qxw","ATLAS1 - ACAM1","","1","1","","19.071","cyan-ATLAS","2018-06-16 14:00:57","ATLAS_Bot1",""
"27222","SN 2018cqw","18:17:32.21","+19:26:40.49","SN Ia","","CGCG 113-034","0.009843","ASAS-SN","","ASAS-SN","ASASSN-18na","ASASSN-4 - Leavitt","SOAR - Goodman","1","1","","16.8","g-Sloan","2018-06-18 04:48:00","Stanek",""
"27223","AT 2018cqx","13:55:49.36","-49:46:08.58","","","","","GaiaAlerts","","GaiaAlerts","Gaia18boh","Gaia - Gaia-photometric","","1","1","","17.37","G-Gaia","2018-06-17 05:08:09","Gaia_Bot1",""
"27224","AT 2018cqy","08:29:16.32","-81:56:05.24","","","","","GaiaAlerts","","GaiaAlerts","Gaia18boi","Gaia - Gaia-photometric","","1","1","","18.29","G-Gaia","2018-06-16 22:24:57","Gaia_Bot1",""
"27225","AT 2018cqz","02:20:07.33","+30:00:46.58","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bok","Gaia - Gaia-photometric","","1","1","","17.73","G-Gaia","2018-06-17 02:16:48","Gaia_Bot1",""
"27226","AT 2018cra","03:03:53.20","-36:17:14.60","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bol","Gaia - Gaia-photometric","","1","1","","18.21","G-Gaia","2018-06-17 01:40:48","Gaia_Bot1",""
"27227","AT 2018crb","23:24:06.13","-22:04:24.92","","","","","ATLAS","","ATLAS","ATLAS18qzi","ATLAS1 - ACAM1","","1","1","","19.279","cyan-ATLAS","2018-06-12 14:28:19","ATLAS_Bot1",""
"27228","AT 2018crc","16:24:23.10","-34:15:08.54","","","","","ATLAS","","ATLAS","ATLAS18qzm","ATLAS1 - ACAM1","","1","1","","18.452","orange-ATLAS","2018-06-18 09:25:55","ATLAS_Bot1",""
"27229","AT 2018crd","12:33:31.16","+27:32:45.68","","","","","ATLAS, ZTF","","ATLAS; ZTF","ATLAS18qzo","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","18.862","cyan-ATLAS","2018-06-18 07:40:48","ATLAS_Bot1",""
"27230","AT 2018cre","13:15:39.01","+31:49:33.78","","","","","ATLAS","","ATLAS","ATLAS18qzp","ATLAS1 - ACAM1","","1","1","","19.247","cyan-ATLAS","2018-06-18 08:11:02","ATLAS_Bot1",""
"27231","AT 2018crf","14:14:41.63","+35:11:31.98","","","","","ATLAS","","ATLAS","ATLAS18qzq","ATLAS1 - ACAM1","","1","1","","20.175","cyan-ATLAS","2018-06-18 09:12:57","ATLAS_Bot1",""
"27232","AT 2018crg","13:09:04.85","+03:28:19.50","","","","","ATLAS","","ATLAS","ATLAS18qzr","ATLAS1 - ACAM1","","1","1","","19.24","cyan-ATLAS","2018-06-17 08:31:12","ATLAS_Bot1",""
"27233","AT 2018crh","22:41:06.46","-23:15:46.28","","","","","ATLAS","","ATLAS","ATLAS18qzs","ATLAS1 - ACAM1","","1","1","","19.269","cyan-ATLAS","2018-06-16 14:06:43","ATLAS_Bot1",""
"27234","SN 2018cri","16:11:21.47","+36:59:39.41","SN Ia","0.064","","","ZTF","ZTF","ZTF","ZTF18aazblzy","P48 - ZTF-Cam","","1","1","","19.65","r-ZTF","2018-06-12 05:09:36","ZTF_Bot1",""
"27235","AT 2018crj","17:58:02.75","+69:04:22.13","","","","","ZTF","","ZTF","ZTF18aazcoob","P48 - ZTF-Cam","","1","1","","20.52","g-ZTF","2018-06-09 08:54:14","ZTF_Bot1",""
"27236","AT 2018crk","17:45:53.40","+31:42:38.02","","","","","ZTF","","ZTF","ZTF18aaytovs","P48 - ZTF-Cam","","1","1","","19.74","g-ZTF","2018-06-10 08:42:43","ZTF_Bot1",""
"27237","AT 2018crl","16:19:38.98","+49:11:06.70","","","","","ZTF","","ZTF","ZTF18aaykjei","P48 - ZTF-Cam","","1","1","","19.77","r-ZTF","2018-06-09 06:47:31","ZTF_Bot1",""
"27238","AT 2018crm","19:48:47.60","+48:52:23.81","","","","","ZTF","","ZTF","ZTF18aazcuno","P48 - ZTF-Cam","","1","1","","19.28","g-ZTF","2018-06-09 09:43:12","ZTF_Bot1",""
